model,RMSE,MAE,R2,R2_percent
GradientBoosting,16.10600971410904,13.748184609332434,0.1087750422632201,10.87750422632201
Ridge,16.30267798994484,14.020905003745124,0.08687690454069186,8.687690454069186
LinearRegression,16.302704358067732,14.020538438160006,0.08687395074850135,8.687395074850135
Lasso,16.545409248162116,14.332861757766628,0.05948342380883942,5.9483423808839415
RandomForest,16.573637152326416,13.909667402713772,0.056271480402948604,5.627148040294861
ExtraTrees,16.711352832748084,13.830873655913978,0.04052283337431439,4.052283337431439
