Title,Artist
Maya Ko Sambandha,Mr.Hyozu
Yaad Ma Rakhnechhu,Swoopna Suman
Mero Aanshu,The Edge Band
Kholai Khola,Neetesh Jung Kunwar
Khoj,ShreeGo
Pinjada,satish
Maya Marideu,ShreeGo
Banda Kotha,ShreeGo
Chaar Dewar,Samir Shrestha
Timrai Tira,Apurva Tamang
Hijo Aja,Wangden Sherpa
Ma Sanga Hidideu,Kelsang Shrestha
Sano,Apurva Tamang
Kuri Basechu (Retake Sessions),Garage Music
"Timi Ra, Ma",Bartika Eam Rai
Priyasi,Aayush Koju
Adhuro,Prabesh Kumar Shrestha
Aakhako Bato,B-8eight
Nabola Masanga,bekcha
Adha Raat Ma,Chintu Rimal
Dina Timilai (Mystic East),Roshan Limbu
Naganya Maya,Sajjan Raj Vaidya
Mooskaan,Sajjan Raj Vaidya
Ma Timro,Swoopna Suman
Kina Khai,GOli
Rang,Brijesh Shrestha
Behos,Sushant KC
"Mero Priye,",Yabesh Thapa
Dhairya,Sajjan Raj Vaidya
Nachodnu Yo Saath,The Edge Band
KURA,The Dreamcatchers Official
Mauntama,B-8eight
Maya Ma,Sushant KC
K Saro Ramri Bhako,Swoopna Suman
Jani Na Jani,Oasis Thapa
Timilai Samjhera,Kehar Sing Limbu
Ek Muskaan (Ankit Dhakal),GXSOUL
Gulabi,Sushant KC
Samjhanchu,Sabin Rai & The Pharaoh
Dui Diney Jindagi,Yabesh Thapa
Hawa Jastai,John Rai
Gala Pukka,Sujan Chapagain
Sadhai Sadhai,Mantra
Marijau,Bikki Gurung
Baacha Bhayo,Swoopna Suman
Timro Aankha,Swoopna Suman
Andhakar Ko Ujyalo,Samir Shrestha
Khani Ho Yahmu,Trishna Gurung
Timi Banew Mero,GOli
Vanna Aaudaina,Naren Limbu
Ajambari,Monkey Temple Nepal
Aama,Sushant KC
"K Yo Maya Ho (From ""Jerry"")",Hercules Basnet
Sunideu,Apurva Tamang
Sannani,Ashutosh KC
Hamro Nepalma,Neetesh Jung Kunwar
Ko Haw Timi,Prashant ezekiel rai
Hearty Maya,Neetesh Jung Kunwar
Herda Herdai,Sushant KC
Malai Angali Deu,Sabin Rai
Ek Sarvanaam,Sajjan Raj Vaidya
Suna Kancha,Trishna Gurung
Timi Nai Hau,Mantra
Samarpan,Sabin Rai & The Pharaoh
Pahaar,Sajjan Raj Vaidya
Ram Sailee - Ode To My Father,Bipul Chettri
Hawaijahaj,Sajjan Raj Vaidya
Laakhau Hajarau,Yabesh Thapa
Marijau2,Bikki Gurung
Hawa Jastai (Raw),John Rai
Jiunu Nai Hola,Tribal Rain
Nachahe Ko Hoina,The Edge Band
ANTARIKSHYA KO SAWAARI,Prashant ezekiel rai
Mero Manaiko Phool Tipi,Roshan Limbu
Maya Raicha Ra,Kali Prasad Baskota
Makhamali,Roshan Limbu
Kalo Keshma Reli Mai,Dinesh Dhakal
Farki Aauna,Lisson Khadka
Risaune Bhaye,Sushant KC
Anountho Mutu,Sajjan Raj Vaidya
Maaya,Varsha Thapa
BIRAM,Purna Rai
Mayalu,Vek
Flirty Maya,Neetesh Jung Kunwar
Timrai lagi - acoustic,The Dreamcatchers Official
Kaalpanik / Maayajastai,Bartika Eam Rai
Gainey Dajai,Trishna Gurung
Nihita,John Rai
Timro Muskan Ley,Anmol Gurung
Sangai Bachauna,Monkey Temple Nepal
Mutu Dekhin - Raw,John Rai
Kalo/Seto,Purna Rai
Fulthunge Rani,Sujan Chapagain
Mayaloo,Sajjan Raj Vaidya
Lekali,Diwas Gurung
Runna Bhanthe,Sugam Pokharel
Jhim Jhim,Ekdev Limbu
Pahuna,Sushant KC
K Garu,John Rai
Tadha Tadha,Wangden Sherpa
Changa,Yabesh Thapa
Kadhekuri (Purna Bahadurko Sarangi),7Seas Cinema
"Chhadke Salam (From ""Behuli From Meghauli"")",Kali Prasad Baskota
La Hai,Bibash Jk
Mann cha?,Purna Rai
Angalo,Bibash Jk
Daiba Hey,Creative Brothers
Jyotsna,Swoopna Suman
Chameli Phoola,Kuma Sagar
Phool Oonko Sweater,Sujan Chapagain
Oh Champa - Tarani Janani,Kuma Sagar
Chahare Sari - Daaya Taya (Bhagwan Sari),Kuma Sagar
Aparibhasit,Swar
Jau Ki Basu,Sabin Rai
The Woolen Sweater [Oon ko Sweater],Sujan Chapagain
Ghumi Ghumi (A Folk Journey),Sujan Chapagain
Sparsha Sangeet (Raw),Purna Rai
Lonely,Bibash Jk
Aagya - Official,Rachana Dahal
Timi Nai Hau - live,Sabin Rai & The Pharaoh
Dhun,Rockheads
Hajar Janma,Rockheads
Sundarta - remake,Sabin Rai & The Pharaoh
"Sanjha Parey Pachi (From ""Appa"")",Anmol Gurung
Thula Thula Sahar,The Elements
Samaya,Monkey Temple Nepal
Samjhine Mutu,The Edge Band
Timi Bhane,Albatross
Laijaw Malai,Tribal Rain
